first_name,gender,birth_date,salary,ssn
"Carmelita",F,1990-02-14T00:00:00.000+0000,48936,992-49-2445
"Love",,1961-07-25T00:00:00.000+0000,193201,903-62-5058
"Ossie",M,,11951,939-65-6283
"Tenesha",F,1991-12-30T00:00:00.000+0000,194027,906-43-6460
"Cheryle",F,fake,181194,938-49-3218
"Seema",F,1945-04-08T00:00:00.000+0000,NaN,666-46-1243
"",M,1995-06-26T00:00:00.000+0000,,992-88-4080
"Anya",F,1929-01-13T00:00:00.000+0000,280630,922-32-3492
"Shasta",F,1936-03-13T00:00:00.000+0000, ,989-59-7276
"dfgsdfgsdfgsdfgsddfgdfgfgsdfg",F,1936-03-13T00:00:00.000+0000, ,989-59-7276
"  ",F,1936-03-13T00:00:00.000+0000, ,989-59-7276
"a",F,1936-03-13T00:00:00.000+0000, sdfasdf,989-59-7276
